deaths removed sum_inc end_inc mob_a q_a test_a rew
109104.0 3.010323e6 2285.0 11.0 5 5 5 -0.8017550000000001
109111.0 3.010977e6 1628.0 4.0 5 5 5 -0.80200375
109119.0 3.011553e6 1047.0 3.0 5 5 5 -0.8007550000000001
109122.0 3.011791e6 810.0 4.0 5 5 5 -0.8007525000000001
109125.0 3.012028e6 572.0 2.0 5 5 5 -0.8007525000000001
109128.0 3.012189e6 410.0 2.0 5 5 5 -0.80025
109129.0 3.012299e6 299.0 0.0 5 5 5 -0.8
109129.0 3.012403e6 195.0 0.0 5 5 5 -0.80025
109130.0 3.012454e6 143.0 0.0 5 5 5 -0.8
109130.0 3.012492e6 105.0 0.0 5 5 5 -0.8
109130.0 3.012519e6 78.0 0.0 5 5 5 -0.80025
109131.0 3.012544e6 52.0 0.0 5 5 5 -0.80025
109132.0 3.012557e6 38.0 0.0 5 5 5 -0.8
109132.0 3.01257e6 25.0 0.0 5 5 5 -0.8
109132.0 3.012581e6 14.0 0.0 5 5 5 -0.8
109132.0 3.012584e6 11.0 0.0 5 5 5 -0.8
109132.0 3.012587e6 8.0 0.0 5 5 5 -0.8
109132.0 3.012591e6 4.0 0.0 5 5 5 -0.8
109132.0 3.012593e6 2.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
109132.0 3.012595e6 0.0 0.0 5 5 5 -0.8
