deaths removed sum_inc end_inc mob_a q_a test_a rew
108442.0 2.998245e6 0.0 0.0 3 4 1 -1.8900000000000001
108442.0 2.998245e6 0.0 0.0 2 4 2 -1.34
108442.0 2.998245e6 0.0 0.0 2 4 2 -0.34
108442.0 2.998245e6 0.0 0.0 2 4 2 -0.34
108442.0 2.998245e6 0.0 0.0 1 4 2 -0.74
108442.0 2.998245e6 0.0 0.0 1 2 3 -1.77
108442.0 2.998245e6 0.0 0.0 1 2 5 -1.37
108442.0 2.998245e6 0.0 0.0 2 3 4 -1.9300000000000002
108442.0 2.998245e6 0.0 0.0 2 3 4 -0.43000000000000005
108442.0 2.998245e6 0.0 0.0 3 4 3 -1.99
